t	y
2.270	11.675842
2.271	11.681245
2.272	11.686647
2.273	11.692048
2.274	11.697447
2.275	11.702845
2.276	11.708242
2.277	11.713637
2.278	11.719030
2.279	11.724423
2.280	11.729813
2.281	11.735203
2.282	11.740591
2.283	11.745978
2.284	11.751363
2.285	11.756747
2.286	11.762130
2.287	11.767511
2.288	11.772891
2.289	11.778269
2.290	11.783646
2.291	11.789022
2.292	11.794396
2.293	11.799769
2.294	11.805141
2.295	11.810511
2.296	11.815879
2.297	11.821247
2.298	11.826613
2.299	11.831978
2.300	11.837341
2.301	11.842703
2.302	11.848064
2.303	11.853423
2.304	11.858781
2.305	11.864137
2.306	11.869493
2.307	11.874846
2.308	11.880199
2.309	11.885550
2.310	11.890900
2.311	11.896248
2.312	11.901595
2.313	11.906941
2.314	11.912285
2.315	11.917628
2.316	11.922970
2.317	11.928310
2.318	11.933649
2.319	11.938987
2.320	11.944323
2.321	11.949658
2.322	11.954992
2.323	11.960325
2.324	11.965656
2.325	11.970985
2.326	11.976314
2.327	11.981641
2.328	11.986966
2.329	11.992291
2.330	11.997614
2.331	12.002935
2.332	12.008256
2.333	12.013575
2.334	12.018893
2.335	12.024209
2.336	12.029524
2.337	12.034838
2.338	12.040151
2.339	12.045462
2.340	12.050772
2.341	12.056080
2.342	12.061387
2.343	12.066693
2.344	12.071998
2.345	12.077301
2.346	12.082604
2.347	12.087904
2.348	12.093204
2.349	12.098502
2.350	12.103799
2.351	12.109094
2.352	12.114389
2.353	12.119681
2.354	12.124973
2.355	12.130264
2.356	12.135553
2.357	12.140840
2.358	12.146127
2.359	12.151412
2.360	12.156696
2.361	12.161979
2.362	12.167260
2.363	12.172540
2.364	12.177819
2.365	12.183097
2.366	12.188373
2.367	12.193648
2.368	12.198922
2.369	12.204194
2.370	12.209465
2.371	12.214735
2.372	12.220004
2.373	12.225271
2.374	12.230537
2.375	12.235802
2.376	12.241066
2.377	12.246328
2.378	12.251589
2.379	12.256849
2.380	12.262107
2.381	12.267364
2.382	12.272621
2.383	12.277875
2.384	12.283129
2.385	12.288381
2.386	12.293632
2.387	12.298882
2.388	12.304130
2.389	12.309377
2.390	12.314623
2.391	12.319868
2.392	12.325112
2.393	12.330354
2.394	12.335595
2.395	12.340835
2.396	12.346073
2.397	12.351311
2.398	12.356547
2.399	12.361782
2.400	12.367015
2.401	12.372248
2.402	12.377479
2.403	12.382709
2.404	12.387937
2.405	12.393165
2.406	12.398391
2.407	12.403616
2.408	12.408840
2.409	12.414062
2.410	12.419284
2.411	12.424504
2.412	12.429723
2.413	12.434940
2.414	12.440157
2.415	12.445372
2.416	12.450586
2.417	12.455799
2.418	12.461010
2.419	12.466221
2.420	12.471430
2.421	12.476638
2.422	12.481845
2.423	12.487050
2.424	12.492255
2.425	12.497458
2.426	12.502660
2.427	12.507860
2.428	12.513060
2.429	12.518258
2.430	12.523455
2.431	12.528651
2.432	12.533846
2.433	12.539040
2.434	12.544232
2.435	12.549423
2.436	12.554613
2.437	12.559802
2.438	12.564990
2.439	12.570176
2.440	12.575361
2.441	12.580545
2.442	12.585728
2.443	12.590910
2.444	12.596090
2.445	12.601270
2.446	12.606448
2.447	12.611625
2.448	12.616801
2.449	12.621975
2.450	12.627149
2.451	12.632321
2.452	12.637492
2.453	12.642662
2.454	12.647831
2.455	12.652998
2.456	12.658165
2.457	12.663330
2.458	12.668494
2.459	12.673657
2.460	12.678819
2.461	12.683979
2.462	12.689139
2.463	12.694297
2.464	12.699454
2.465	12.704610
2.466	12.709765
2.467	12.714919
2.468	12.720071
2.469	12.725222
2.470	12.730373
2.471	12.735522
2.472	12.740670
2.473	12.745816
2.474	12.750962
2.475	12.756106
2.476	12.761250
2.477	12.766392
2.478	12.771533
2.479	12.776673
2.480	12.781812
2.481	12.786949
2.482	12.792086
2.483	12.797221
2.484	12.802355
2.485	12.807488
2.486	12.812620
2.487	12.817751
2.488	12.822881
2.489	12.828009
2.490	12.833137
2.491	12.838263
2.492	12.843388
2.493	12.848512
2.494	12.853635
2.495	12.858757
2.496	12.863878
2.497	12.868997
2.498	12.874116
2.499	12.879233
2.500	12.884349
2.501	12.889464
2.502	12.894578
2.503	12.899691
2.504	12.904803
2.505	12.909914
2.506	12.915023
2.507	12.920131
2.508	12.925239
2.509	12.930345
2.510	12.935450
2.511	12.940554
2.512	12.945657
2.513	12.950759
2.514	12.955859
2.515	12.960959
2.516	12.966058
2.517	12.971155
2.518	12.976251
2.519	12.981346
2.520	12.986441
2.521	12.991534
2.522	12.996625
2.523	13.001716
2.524	13.006806
2.525	13.011895
2.526	13.016982
2.527	13.022069
2.528	13.027154
2.529	13.032238
2.530	13.037322
2.531	13.042404
2.532	13.047485
2.533	13.052565
2.534	13.057644
2.535	13.062722
2.536	13.067798
2.537	13.072874
2.538	13.077949
2.539	13.083022
2.540	13.088094
2.541	13.093166
2.542	13.098236
2.543	13.103305
2.544	13.108374
2.545	13.113441
2.546	13.118507
2.547	13.123572
2.548	13.128636
2.549	13.133698
2.550	13.138760
2.551	13.143821
